"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Создание курьера без обязательного поля приводит к ошибке 400","tests","2025-11-08","passed","2025-11-08","TestCourierCreate","test_courier_create","",""
"","7632","Запрос списка заказов возвращает массив orders","tests","2025-11-08","passed","2025-11-08","TestOrdersList","test_orders_list","",""
"","195","Нельзя создать двух курьеров с одинаковым логином","tests","2025-11-08","passed","2025-11-08","TestCourierCreate","test_courier_create","",""
"","216","Курьер может принять заказ","tests","2025-11-08","passed","2025-11-08","TestOrderAccept","test_order_accept","",""
"","41","Авторизация с несуществующей парой логин/пароль возвращает ошибку","tests","2025-11-08","passed","2025-11-08","TestCourierLogin","test_courier_login","",""
"","38","Удаление несуществующего курьера возвращает ошибку","tests","2025-11-08","passed","2025-11-08","TestCourierDelete","test_courier_delete","",""
"","608","Успешное создание курьера","tests","2025-11-08","passed","2025-11-08","TestCourierCreate","test_courier_create","",""
"","54","Можно создать заказ с разными вариантами цвета","tests","2025-11-08","passed","2025-11-08","TestOrdersCreate","test_orders_create","",""
"","47","Можно создать заказ с разными вариантами цвета","tests","2025-11-08","passed","2025-11-08","TestOrdersCreate","test_orders_create","",""
"","58","Можно создать заказ с разными вариантами цвета","tests","2025-11-08","passed","2025-11-08","TestOrdersCreate","test_orders_create","",""
"","107","Можно получить заказ по его треку","tests","2025-11-08","passed","2025-11-08","TestOrderByTrack","test_order_by_track","",""
"","31","Авторизация без обязательного поля (пустой логин/пароль) возвращает 400","tests","2025-11-08","passed","2025-11-08","TestCourierLogin","test_courier_login","",""
"","173","Курьера можно удалить","tests","2025-11-08","passed","2025-11-08","TestCourierDelete","test_courier_delete","",""
"","38","Курьер может авторизоваться с корректными логином и паролем","tests","2025-11-08","passed","2025-11-08","TestCourierLogin","test_courier_login","",""
"","29","Авторизация без обязательного поля (пустой логин/пароль) возвращает 400","tests","2025-11-08","passed","2025-11-08","TestCourierLogin","test_courier_login","",""
"","57","Можно создать заказ с разными вариантами цвета","tests","2025-11-08","passed","2025-11-08","TestOrdersCreate","test_orders_create","",""
